19:48:10: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 55] Logger initialized
19:48:17: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 87] Action taken: CHANGE YAW: 26.57
19:48:17: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 99] Average velocity: (4.00, 1.33, 0.13) m/s
19:48:17: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 87] Action taken: CHANGE YAW: 45.00
19:48:18: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 99] Average velocity: (3.75, 0.00, 0.12) m/s
19:48:18: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 87] Action taken: CHANGE YAW: 90.00
19:48:18: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 99] Average velocity: (2.35, 0.00, 0.12) m/s
19:48:18: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 87] Action taken: CHANGE YAW: 45.00
19:48:19: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 99] Average velocity: (1.11, 0.00, 0.11) m/s
19:48:19: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 87] Action taken: CHANGE YAW: 90.00
19:48:19: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 99] Average velocity: (0.00, 0.00, 0.11) m/s
19:48:19: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 87] Action taken: CHANGE YAW: 135.00
19:48:20: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 99] Average velocity: (0.00, 1.00, 0.10) m/s
19:48:20: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 87] Action taken: CHANGE YAW: -26.57
19:48:20: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 99] Average velocity: (0.00, 1.90, 0.10) m/s
19:48:20: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 87] Action taken: CHANGE YAW: -45.00
19:48:21: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 99] Average velocity: (0.00, 2.73, 0.09) m/s
19:48:21: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 87] Action taken: CHANGE YAW: -90.00
19:48:21: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 99] Average velocity: (0.87, 2.61, 0.09) m/s
19:48:21: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 87] Action taken: CHANGE YAW: -45.00
19:48:22: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 99] Average velocity: (1.67, 2.50, 0.08) m/s
19:48:22: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 87] Action taken: CHANGE YAW: -90.00
19:48:22: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 99] Average velocity: (2.40, 2.40, 0.08) m/s
19:48:22: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 87] Action taken: CHANGE YAW: -135.00
19:48:23: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 99] Average velocity: (2.31, 1.54, 0.08) m/s
19:48:23: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 87] Action taken: CHANGE YAW: -63.43
19:48:23: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 99] Average velocity: (2.22, 0.74, 0.07) m/s
19:48:23: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 87] Action taken: CHANGE YAW: -90.00
19:48:24: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 99] Average velocity: (2.14, 0.00, 0.07) m/s
19:48:24: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 87] Action taken: CHANGE YAW: -116.57
19:48:24: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 99] Average velocity: (1.38, 0.00, 0.07) m/s
19:48:24: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 87] Action taken: CHANGE YAW: -45.00
19:48:25: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 99] Average velocity: (0.67, 0.00, 0.07) m/s
19:48:25: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 87] Action taken: CHANGE YAW: -63.43
19:48:25: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 99] Average velocity: (0.00, 0.00, 0.06) m/s
19:48:25: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 87] Action taken: CHANGE YAW: -90.00
